MkmCode,ScryfallCode
10E,10E
2ED,2ED
2XM,2XM
3ED,3ED
4ED,4ED
5DN,5DN
5ED,5ED
6ED,6ED
7ED,7ED
8ED,8ED
9ED,9ED
A25,A25
AER,AER
AKH,AKH
ALA,ALA
ALL,ALL
APC,APC
ARB,ARB
ARC,ARC
ARN,ARN
ATH,ATH
ATQ,ATQ
AVR,AVR
BBD,BBD
BFZ,BFZ
BNG,BNG
BOK,BOK
BRB,BRB
BTD,BTD
C13,C13
C14,C14
C15,C15
C16,C16
C17,C17
C18,C18
C19,C19
C20,C20
CC1,CC1
CED,CED
CHK,CHK
CHR,CHR
CM1,CM1
CM2,CM2
CMA,CMA
CMD,CMD
CMR,CMR
CN2,CN2
CNS,CNS
CSP,CSP
DD2,DD2
DDC,DDC
DDD,DDD
DDE,DDE
DDF,DDF
DDG,DDG
DDH,DDH
DDI,DDI
DDJ,DDJ
DDK,DDK
DDL,DDL
DDM,DDM
DDN,DDN
DDO,DDO
DDP,DDP
DDQ,DDQ
DDR,DDR
DDS,DDS
DDT,DDT
DDU,DDU
DGM,DGM
DIS,DIS
DKA,DKA
DKM,DKM
DOM,DOM
DPA,DPA
DRB,DRB
DRK,DRK
DST,DST
DTK,DTK
E01,E01
E02,E02
ELD,ELD
EMA,EMA
EMN,EMN
EVE,EVE
EVG,EVG
EXO,EXO
FEM,FEM
FNM,FNM
FRF,FRF
FUT,FUT
GK1,GK1
GK2,GK2
GN2,GN2
GNT,GNT
GPT,GPT
GRN,GRN
GS1,GS1
GTC,GTC
H09,H09
H17,H17
HML,HML
HOP,HOP
HOU,HOU
HTR,HTR
ICE,ICE
IKO,IKO
IMA,IMA
INV,INV
ISD,ISD
JMP,JMP
JOU,JOU
JUD,JUD
KLD,KLD
KTK,KTK
LEA,LEA
LEB,LEB
LEG,LEG
LGN,LGN
LRW,LRW
M10,M10
M11,M11
M12,M12
M13,M13
M14,M14
M15,M15
M19,M19
M20,M20
M21,M21
MBS,MBS
MD1,MD1
MED,MED
MH1,MH1
MIR,MIR
MM2,MM2
MM3,MM3
MMA,MMA
MMQ,MMQ
MOR,MOR
MPR,MPR
MRD,MRD
NEM,NEM
NPH,NPH
ODY,ODY
OGW,OGW
ONS,ONS
ORI,ORI
P02,P02
PAER,PAER
PAKH,PAKH
PBBD,PBBD
PBFZ,PBFZ
PC2,PC2
PCA,PCA
PCY,PCY
PD2,PD2
PD3,PD3
PDOM,PDOM
PDTK,PDTK
PELD,PELD
PFRF,PFRF
PHOU,PHOU
PIKO,PIKO
PKLD,PKLD
PKTK,PKTK
PLC,PLC
PLS,PLS
PM19,PM19
PM21,PM21
POGW,POGW
POR,POR
PORI,PORI
PSOI,PSOI
PTG,PTG
PTHB,PTHB
PTK,PTK
PZNR,PZNR
RAV,RAV
RIX,RIX
RNA,RNA
ROE,ROE
RTR,RTR
S00,S00
S99,S99
SCG,SCG
SHM,SHM
SLD,SLD
SLU,SLU
SOI,SOI
SOK,SOK
SOM,SOM
SS1,SS1
SS2,SS2
SS3,SS3
STH,STH
SUM,SUM
THB,THB
THS,THS
TP,TMP
TOR,TOR
TSP,TSP
UDS,UDS
UGL,UGL
ULG,ULG
UMA,UMA
UND,UND
UNH,UNH
USG,USG
UST,UST
V09,V09
V10,V10
V11,V11
V12,V12
V13,V13
V14,V14
V15,V15
V16,V16
V17,V17
VIS,VIS
W16,W16
W17,W17
WAR,WAR
WTH,WTH
WWK,WWK
XLN,XLN
ZEN,ZEN
ZNC,ZNC
ZNE,ZNE
ZNR,ZNR
CSPTD,CST
AKHI,MP2
CPR,PCMP
EMNP,PEMN
GPPR,PGPX
PGRU,GUL
ITP,IBS
XLNP,PXLN
KLDS,MPS
XMH1,AMH1
CONF,CON
APL,PALP
DTL,FBB
4EBB,4BB
GUL,PGRU
HHPR,HHO
HJCC,PHJ
IED,CEI
IBS,ITP
MUL,MGB
MYS,MB1
MYSPT,CMB1
REL,PREL
RE,REN
RSP,PRES
RI,RIN
CC13,PDSC
CC14,PS14
CC15,PS15
CC16,PS16
CC17,PS17
CC18,PS18
CC19,PS19
ZNL,PLIST
UGFP,UGIN
XUMA,PUMA
ZEX,EXP
XWAR,PWAR
VG,PVAN   
BNG, THP2